Run_ID,Task_Type,Criterion_1_Limit,Criterion_2_Structure,Criterion_3_No_Errors,Criterion_4_Clarity,Criterion_5_Tone,Total_Score,Notes
run_01,Fact,1,1,1,5,5,13,
run_02,Fact,1,0,1,3,5,10,
run_03,Explain,0,0,1,3,4,8,
run_04,Explain,0,1,1,3,4,9,
run_05,False_Premise,1,1,1,4,5,12,
run_06,False_Premise,1,1,1,4,5,12,
run_07,Fact,1,0,1,5,5,12,
run_08,Fact,1,0,1,4,5,11,
run_09,Explain,1,1,1,3,3,9,
run_10,Explain,0,1,1,5,5,12,
run_11,False_Premise,1,1,0,3,5,10,
run_12,False_Premise,1,1,0,4,4,10,
run_13,Fact,1,0,1,4,5,11,
run_14,Fact,1,0,1,4,5,11,
run_15,Explain,1,1,1,5,4,12,
run_16,Explain,1,1,1,4,4,11,
run_17,False_Premise,1,1,1,5,5,13,
run_18,False_Premise,1,1,1,4,4,11,
run_19,Rephrase_Fact,1,1,1,4,5,12,
run_20,Rephrase_Fact,1,1,1,3,5,11,
